2023-07-29, 1690641070000, 20.6, 43.2
2023-07-30, 1690727470000, 19.2, 42.4
2023-07-31, 1690813870000, 21.4, 38.6
2023-08-01, 1690900270000, 20.1, 41
2023-08-02, 1690986670000, 21.9, 37.3
2023-08-03, 1691073070000, 19.6, 40.2
2023-08-04, 1691159470000, 21, 38.6
2023-08-05, 1691245870000, 21.5, 43.2
2023-08-06, 1691332270000, 21.7, 37.9
2023-08-07, 1691418670000, 21.6, 41
2023-08-08, 1691505070000, 20.6, 42.4
2023-08-09, 1691591470000, 20.1, 32.7
2023-08-10, 1691677870000, 19.4, 20.6
2023-08-11, 1691764270000, 18.8, 25.9
2023-08-12, 1691850670000, 19.3, 25.4
2023-08-13, 1691937070000, 19.2, 34.7
2023-08-14, 1692023470000, 19.5, 41.3
2023-08-15, 1692109870000, 18.3, 39.7
2023-08-16, 1692196270000, 17.5, 39.7
2023-08-17, 1692282670000, 18.8, 37.8
2023-08-18, 1692369070000, 19.9, 44
2023-08-19, 1692455470000, 20.9, 43.1
2023-08-20, 1692541870000, 21.5, 33.5
2023-08-21, 1692628270000, 21.3, 38.8
2023-08-22, 1692714670000, 21, 37.9
2023-08-23, 1692801070000, 19.7, 32.4
2023-08-24, 1692887470000, 19.6, 32.8
2023-08-25, 1692973870000, 20.4, 37.9
2023-08-26, 1693060270000, 18.3, 38.4
2023-08-27, 1693146670000, 17.2, 32.1
2023-08-28, 1693233070000, 18, 26.7
2023-08-29, 1693319470000, 20.3, 27.4
2023-08-30, 1693405870000, 16.5, 22
2023-08-31, 1693492270000, 15.9, 37.2
2023-09-01, 1693578670000, 14, 38.9
2023-09-02, 1693665070000, 14.3, 38.8
2023-09-03, 1693751470000, 17.8, 38
2023-09-04, 1693837870000, 19.3, 36.3
2023-09-05, 1693924270000, 19.2, 38.2
2023-09-06, 1694010670000, 16, 41.1
2023-09-07, 1694097070000, 12.6, 41.6
2023-09-08, 1694183470000, 12.1, 41.4
2023-09-09, 1694269870000, 13.1, 43.5
2023-09-10, 1694356270000, 16, 41.4
2023-09-11, 1694442670000, 17.4, 41.5
2023-09-12, 1694529070000, 17.3, 41.5
2023-09-13, 1694615470000, 16.4, 20.7
2023-09-14, 1694701870000, 16.6, 29.9
2023-09-15, 1694788270000, 17.4, 22.4
2023-09-16, 1694874670000, 18.8, 29.2
2023-09-17, 1694961070000, 19.7, 37.6
2023-09-18, 1695047470000, 18.4, 36.7
2023-09-19, 1695133870000, 15.8, 29.9
2023-09-20, 1695220270000, 14.9, 20
2023-09-21, 1695306670000, 12.7, 24.9
2023-09-22, 1695393070000, 9.2, 35.9
2023-09-23, 1695479470000, 10.7, 32
2023-09-24, 1695565870000, 10.1, 32.9
2023-09-25, 1695652270000, 13.9, 32.5
2023-09-26, 1695738670000, 16.5, 20.8
2023-09-27, 1695825070000, 17.3, 21.3
2023-09-28, 1695911470000, 15.7, 33.4
2023-09-29, 1695997870000, 12.2, 33.4
2023-09-30, 1696084270000, 12.2, 27.4
2023-10-01, 1696170670000, 8.4, 31.1
2023-10-02, 1696257070000, 6.2, 32.5
2023-10-03, 1696343470000, 7.6, 26
2023-10-04, 1696429870000, 8.1, 26.3
2023-10-05, 1696516270000, 4.7, 28.9
2023-10-06, 1696602670000, 2.9, 30.8
2023-10-07, 1696689070000, 5.7, 22.8
2023-10-08, 1696775470000, 8.5, 22.5
2023-10-09, 1696861870000, 7.7, 22.4
2023-10-10, 1696948270000, 6.3, 32.6
2023-10-11, 1697034670000, 4.6, 33.1
2023-10-12, 1697121070000, 5.9, 33.2
2023-10-13, 1697207470000, 8.8, 24.3
2023-10-14, 1697293870000, 6.9, 20.2
2023-10-15, 1697380270000, 6.1, 24.9
2023-10-16, 1697466670000, 5.1, 29.3
2023-10-17, 1697553070000, 2.2, 31.1
2023-10-18, 1697639470000, 3.4, 28.9
2023-10-19, 1697725870000, 6.9, 13.8
2023-10-20, 1697812270000, 0.7, 24.2
2023-10-21, 1697898670000, -1.5, 25.4
2023-10-22, 1697985070000, -0.4, 25
2023-10-23, 1698071470000, 5.7, 25.3
2023-10-24, 1698157870000, 6.6, 24.5
2023-10-25, 1698244270000, 8.9, 31
2023-10-26, 1698330670000, 7, 18.2
2023-10-27, 1698417070000, 4.8, 19.2
2023-10-28, 1698503470000, 4.2, 28.9
2023-10-29, 1698589870000, 3.5, 30.6
2023-10-30, 1698676270000, 4.1, 30
2023-10-31, 1698762670000, 4.5, 30.7
2023-11-01, 1698849070000, 6.5, 16.8
2023-11-02, 1698935470000, 10.8, 31.8
2023-11-03, 1699021870000, 9.5, 24.9
2023-11-04, 1699108270000, 11.6, 20
2023-11-05, 1699194670000, 12, 26.8
2023-11-06, 1699281070000, 3.6, 16.6
2023-11-07, 1699367470000, -1, 21.7
2023-11-08, 1699453870000, -3, 28.8
2023-11-09, 1699540270000, 1, 26.9
2023-11-10, 1699626670000, -3.4, 22
2023-11-11, 1699713070000, -5.8, 18.1
2023-11-12, 1699799470000, -7.6, 17.5
2023-11-13, 1699885870000, -8.7, 18.2
2023-11-14, 1699972270000, -6, 18.9
2023-11-15, 1700058670000, -4.5, 23.6
2023-11-16, 1700145070000, -1.7, 6.6
2023-11-17, 1700231470000, -4.6, 12.9
2023-11-18, 1700287270000, -8.2, 11.9
